seconds_of_day,day_of_year,temperature,radiator-input,radiator-output,outdoor-temperature,solar-radiation,windspeed,humidity
27763,289,19.8,18.41764705882353,18.5,10.1,0.0,9.7,97.0
28663,289,19.8,18.12,18.35,10.2,0.0,3.2,97.0
29563,289,19.85942028985508,18.20735294117647,18.5,10.3,0.0,1.6,97.0
30463,289,19.9,17.98611111111111,18.166666666666664,10.4,0.0,1.6,97.0
31363,289,19.9,17.805405405405406,18.0,10.4,0.0,1.6,97.0
32263,289,19.9,17.891666666666666,18.0,10.4,7.0,4.8,97.0
33163,289,19.9,17.8,18.0,10.4,0.0,3.2,97.0
34063,289,19.9,17.62089552238806,18.0,10.3,5.0,12.9,97.0
34963,289,19.80675675675676,17.928169014084506,18.0,10.3,18.0,11.3,97.0
35863,289,19.838461538461537,32.65753424657534,22.034246575342465,10.4,5.0,8.0,97.0
36763,289,20.07887323943662,38.66666666666667,31.173611111111107,10.5,0.0,9.7,97.0
37663,289,20.364864864864863,37.2536231884058,31.63043478260869,10.6,14.0,8.0,97.0
38563,289,20.62328767123288,35.310810810810814,28.91216216216216,10.6,14.0,8.0,97.0
39463,289,20.9056338028169,31.4453125,28.5859375,10.7,14.0,8.0,97.0
40363,289,21.262857142857143,28.76521739130435,27.268115942028988,10.7,21.0,11.3,97.0
41263,289,21.3,24.015714285714285,23.664285714285715,10.9,28.0,11.3,98.0
42163,289,21.47,20.95138888888889,21.895833333333336,11.0,40.0,11.3,98.0
43063,289,21.5,19.75441176470588,20.977941176470587,11.1,39.0,9.7,97.0
43963,289,21.42112676056338,19.282608695652176,20.42753623188406,11.2,16.0,12.9,97.0
44863,289,21.4,19.463768115942027,20.0,11.3,35.0,9.7,98.0
45763,289,21.30540540540541,19.458333333333336,20.0,11.3,19.0,9.7,98.0
46663,289,21.3,19.5,20.0,11.4,11.0,8.0,98.0
47563,289,21.364,19.5,19.861538461538466,11.4,18.0,1.6,98.0
48463,289,21.4,19.5,19.52054794520548,11.4,30.0,8.0,97.0
49363,289,21.4,19.5,19.5,11.6,65.0,11.3,98.0
50263,289,21.433333333333334,19.383333333333333,19.5,11.8,81.0,4.8,98.0
51163,289,21.4,19.3,19.5,12.0,185.0,11.3,98.0
52063,289,21.4,19.21081081081081,19.5,12.9,134.0,12.9,98.0
52963,289,21.4,19.0,19.285714285714285,12.8,121.0,9.7,98.0
53863,289,21.302083333333336,18.910638297872342,19.0,12.8,148.0,8.0,97.0
54763,289,21.383018867924527,18.8,19.186274509803923,12.8,134.0,9.7,97.0
55663,289,21.466666666666665,18.69782608695652,19.5,13.0,135.0,4.8,97.0
56563,289,21.963265306122448,22.57755102040816,19.83673469387756,12.9,74.0,9.7,96.0
57463,289,22.11063829787234,26.47428571428572,23.128571428571423,12.7,16.0,8.0,96.0
58363,289,22.2,28.06379310344828,25.00862068965517,12.7,5.0,9.7,96.0
59263,289,22.278,24.45581395348837,24.453488372093023,12.7,42.0,11.3,96.0
60163,289,22.2,21.59767441860465,21.813953488372093,12.6,21.0,4.8,96.0
61063,289,22.14444444444445,20.732394366197184,21.0,12.6,51.0,0.0,97.0
61963,289,22.09841269841269,20.293243243243243,20.513513513513512,12.8,25.0,11.3,97.0
62863,289,22.00434782608696,19.908571428571427,20.15,12.3,30.0,3.2,94.0
63763,289,21.96164383561644,19.68857142857143,20.0,12.2,7.0,3.2,93.0
64663,289,21.9,19.5,19.91780821917808,12.2,0.0,11.3,90.0
65563,289,21.83283582089552,19.36027397260274,19.5,12.2,0.0,9.7,89.0
66463,289,21.75507246376812,19.114084507042254,19.5,11.8,0.0,11.3,90.0
67363,289,21.694202898550724,18.9661971830986,19.218309859154928,11.8,0.0,9.7,90.0
68263,289,21.6,18.8,19.0,11.8,0.0,11.3,91.0
69163,289,21.53243243243244,18.89666666666667,19.0,11.6,0.0,19.3,90.0
70063,289,21.5,18.666153846153847,19.0,11.7,0.0,14.5,89.0
70963,289,21.43918918918919,18.5,18.70714285714286,11.6,0.0,16.1,90.0
71863,289,21.4,18.38059701492537,18.5,11.6,0.0,12.9,90.0
72763,289,21.32205882352941,18.27945205479452,18.5,11.7,0.0,16.1,90.0
73663,289,21.29733333333333,18.009677419354837,18.5,11.7,0.0,12.9,91.0
74563,289,21.2,18.0,18.30821917808219,11.8,0.0,14.5,91.0
75463,289,21.2,18.0,18.0,11.8,0.0,16.1,91.0
76363,289,21.113698630136987,17.983561643835618,18.0,11.8,0.0,16.1,92.0
77263,289,21.09,17.964383561643835,18.0,11.8,0.0,16.1,92.0
78163,289,21.0,17.847058823529412,18.0,11.8,0.0,16.1,93.0
79063,289,20.98333333333333,17.928571428571427,18.0,11.7,0.0,14.5,93.0
79963,289,20.9,17.96363636363636,18.0,11.7,0.0,16.1,93.0
80863,289,20.81571428571429,18.0,18.0,11.7,0.0,24.1,93.0
81763,289,20.74788732394366,18.0,18.0,11.7,0.0,19.3,93.0
82663,289,20.67536231884058,18.0,18.0,11.7,0.0,16.1,93.0
83563,289,20.6,18.043661971830986,18.0,11.7,0.0,20.9,93.0
84463,289,20.530985915492955,21.029577464788733,18.267605633802816,11.8,0.0,11.3,93.0
85363,289,20.49571428571429,22.816666666666663,19.67361111111111,11.8,0.0,14.5,93.0
86263,289,20.4,24.947222222222223,21.229166666666664,11.9,0.0,16.1,92.0
763,290,20.4,26.0,22.35333333333333,12.1,0.0,22.5,91.0
1663,290,20.43768115942029,27.042465753424658,23.801369863013697,12.2,0.0,12.9,91.0
2563,290,20.5,25.75774647887324,24.098591549295776,12.2,0.0,12.9,90.0
3463,290,20.5,25.53243243243244,23.89864864864865,12.3,0.0,19.3,90.0
4363,290,20.5,24.76438356164384,23.273972602739725,12.4,0.0,19.3,89.0
5263,290,20.5,25.0,23.23943661971831,12.2,0.0,27.4,91.0
6163,290,20.5,24.263513513513512,22.92567567567568,12.1,0.0,22.5,91.0
7063,290,20.5,24.70810810810811,23.0472972972973,12.0,0.0,29.0,90.0
7963,290,20.5,22.32054794520548,21.63013698630137,12.0,0.0,29.0,89.0
8863,290,20.44857142857143,22.157534246575345,20.356164383561644,11.7,0.0,27.4,89.0
9763,290,20.4,23.885915492957743,20.725352112676056,11.7,0.0,33.8,88.0
10663,290,20.395774647887325,25.41527777777777,21.63888888888889,11.7,0.0,35.4,87.0
11563,290,20.309722222222224,24.48108108108108,22.277027027027025,11.6,0.0,29.0,86.0
12463,290,20.3,25.690140845070424,23.295774647887324,11.6,0.0,25.7,86.0
13363,290,20.363888888888887,25.56164383561644,23.554794520547947,11.6,0.0,27.4,85.0
14263,290,20.4,26.03888888888889,23.944444444444446,11.3,0.0,35.4,88.0
15163,290,20.4,25.176388888888887,23.70138888888889,11.2,0.0,37.0,88.0
16063,290,20.4,25.709722222222226,23.86805555555556,11.2,0.0,27.4,89.0
16963,290,20.4,24.742253521126763,23.274647887323944,11.1,0.0,32.2,90.0
17863,290,20.4,24.5536231884058,23.094202898550726,10.8,0.0,27.4,91.0
18763,290,20.4,23.775,22.52777777777778,10.8,0.0,35.4,92.0
19663,290,20.4,22.6875,21.48611111111111,10.6,0.0,32.2,93.0
20563,290,20.4,24.244444444444447,21.77777777777778,10.6,0.0,32.2,94.0
21463,290,20.32205882352941,24.43285714285714,22.107142857142858,10.5,0.0,27.4,94.0
22363,290,20.3,22.29714285714285,20.914285714285715,10.5,0.0,25.7,95.0
23263,290,20.3,19.81142857142857,19.728571428571428,10.6,0.0,32.2,95.0
24163,290,20.229850746268657,19.234782608695653,19.333333333333336,10.6,0.0,22.5,95.0
25063,290,20.2,18.856338028169013,19.0,10.3,0.0,24.1,95.0
25963,290,20.118309859154927,18.552702702702703,18.99324324324324,10.3,0.0,24.1,95.0
